;0;Unnamed: 0;Unnamed: 4;aantal;beeld;omschrijving_sluit;sluit_barcode
11;;98.0;;500.0;202011726_layout_3.pdf;Rol 0099   900810000300 | labels tbv 0810000300;8720195286363.0
12;;99.0;;500.0;202011726_layout_3.pdf;Rol 0100   900810000300 | labels tbv 0810000300;8720195286363.0
13;;100.0;;500.0;202011726_layout_3.pdf;Rol 0101   900810000300 | labels tbv 0810000300;8720195286363.0
14;;101.0;;500.0;202011726_layout_3.pdf;Rol 0102   900810000300 | labels tbv 0810000300;8720195286363.0
15;;102.0;;500.0;202011726_layout_3.pdf;Rol 0103   900810000300 | labels tbv 0810000300;8720195286363.0
16;;103.0;;500.0;202011726_layout_3.pdf;Rol 0104   900810000300 | labels tbv 0810000300;8720195286363.0
17;;104.0;;500.0;202011726_layout_3.pdf;Rol 0105   900810000300 | labels tbv 0810000300;8720195286363.0
18;;105.0;;500.0;202011726_layout_3.pdf;Rol 0106   900810000300 | labels tbv 0810000300;8720195286363.0
19;;106.0;;500.0;202011726_layout_3.pdf;Rol 0107   900810000300 | labels tbv 0810000300;8720195286363.0
20;;107.0;;500.0;202011726_layout_3.pdf;Rol 0108   900810000300 | labels tbv 0810000300;8720195286363.0
21;;108.0;;500.0;202011726_layout_4.pdf;Rol 0109   900810000400 | labels tbv 0810000400;8720195286370.0
22;;109.0;;500.0;202011726_layout_4.pdf;Rol 0110   900810000400 | labels tbv 0810000400;8720195286370.0
23;;110.0;;500.0;202011726_layout_4.pdf;Rol 0111   900810000400 | labels tbv 0810000400;8720195286370.0
24;;111.0;;500.0;202011726_layout_4.pdf;Rol 0112   900810000400 | labels tbv 0810000400;8720195286370.0
25;;112.0;;500.0;202011726_layout_5.pdf;Rol 0113   900810000500 | labels tbv 0810000500;8720195286387.0
26;;113.0;;500.0;202011726_layout_5.pdf;Rol 0114   900810000500 | labels tbv 0810000500;8720195286387.0
27;;114.0;;500.0;202011726_layout_5.pdf;Rol 0115   900810000500 | labels tbv 0810000500;8720195286387.0
28;;115.0;;500.0;202011726_layout_5.pdf;Rol 0116   900810000500 | labels tbv 0810000500;8720195286387.0
0;202011726_inschiet_met_rolnummer_baan_5 | 14500 etiketten;;;;;;
0;;116.0;;500.0;202011726_layout_5.pdf;Rol 0117   900810000500 | labels tbv 0810000500;8720195286387.0
1;;117.0;;500.0;202011726_layout_5.pdf;Rol 0118   900810000500 | labels tbv 0810000500;8720195286387.0
2;;118.0;;500.0;202011726_layout_5.pdf;Rol 0119   900810000500 | labels tbv 0810000500;8720195286387.0
3;;119.0;;500.0;202011726_layout_5.pdf;Rol 0120   900810000500 | labels tbv 0810000500;8720195286387.0
4;;120.0;;500.0;202011726_layout_5.pdf;Rol 0121   900810000500 | labels tbv 0810000500;8720195286387.0
5;;121.0;;500.0;202011726_layout_5.pdf;Rol 0122   900810000500 | labels tbv 0810000500;8720195286387.0
6;;122.0;;500.0;202011726_layout_5.pdf;Rol 0123   900810000500 | labels tbv 0810000500;8720195286387.0
7;;123.0;;500.0;202011726_layout_5.pdf;Rol 0124   900810000500 | labels tbv 0810000500;8720195286387.0
8;;124.0;;500.0;202011726_layout_5.pdf;Rol 0125   900810000500 | labels tbv 0810000500;8720195286387.0
9;;125.0;;500.0;202011726_layout_5.pdf;Rol 0126   900810000500 | labels tbv 0810000500;8720195286387.0
10;;126.0;;500.0;202011726_layout_6.pdf;Rol 0127   900810000600 | labels tbv 0810000600;8720195286394.0
11;;127.0;;500.0;202011726_layout_6.pdf;Rol 0128   900810000600 | labels tbv 0810000600;8720195286394.0
12;;128.0;;500.0;202011726_layout_6.pdf;Rol 0129   900810000600 | labels tbv 0810000600;8720195286394.0
13;;129.0;;500.0;202011726_layout_6.pdf;Rol 0130   900810000600 | labels tbv 0810000600;8720195286394.0
14;;130.0;;500.0;202011726_layout_6.pdf;Rol 0131   900810000600 | labels tbv 0810000600;8720195286394.0
15;;131.0;;500.0;202011726_layout_6.pdf;Rol 0132   900810000600 | labels tbv 0810000600;8720195286394.0
16;;132.0;;500.0;202011726_layout_6.pdf;Rol 0133   900810000600 | labels tbv 0810000600;8720195286394.0
17;;133.0;;500.0;202011726_layout_6.pdf;Rol 0134   900810000600 | labels tbv 0810000600;8720195286394.0
18;;134.0;;500.0;202011726_layout_6.pdf;Rol 0135   900810000600 | labels tbv 0810000600;8720195286394.0
19;;135.0;;500.0;202011726_layout_6.pdf;Rol 0136   900810000600 | labels tbv 0810000600;8720195286394.0
20;;136.0;;500.0;202011726_layout_6.pdf;Rol 0137   900810000600 | labels tbv 0810000600;8720195286394.0
21;;137.0;;500.0;202011726_layout_6.pdf;Rol 0138   900810000600 | labels tbv 0810000600;8720195286394.0
22;;138.0;;500.0;202011726_layout_6.pdf;Rol 0139   900810000600 | labels tbv 0810000600;8720195286394.0
23;;139.0;;500.0;202011726_layout_6.pdf;Rol 0140   900810000600 | labels tbv 0810000600;8720195286394.0
24;;140.0;;500.0;202011726_layout_6.pdf;Rol 0141   900810000600 | labels tbv 0810000600;8720195286394.0
25;;141.0;;500.0;202011726_layout_6.pdf;Rol 0142   900810000600 | labels tbv 0810000600;8720195286394.0
26;;142.0;;500.0;202011726_layout_6.pdf;Rol 0143   900810000600 | labels tbv 0810000600;8720195286394.0
27;;143.0;;500.0;202011726_layout_6.pdf;Rol 0144   900810000600 | labels tbv 0810000600;8720195286394.0
28;;144.0;;500.0;202011726_layout_6.pdf;Rol 0145   900810000600 | labels tbv 0810000600;8720195286394.0
0;202011726_inschiet_met_rolnummer_baan_6 | 14500 etiketten;;;;;;
0;;145.0;;500.0;202011726_layout_6.pdf;Rol 0146   900810000600 | labels tbv 0810000600;8720195286394.0
1;;146.0;;500.0;202011726_layout_6.pdf;Rol 0147   900810000600 | labels tbv 0810000600;8720195286394.0
2;;147.0;;500.0;202011726_layout_6.pdf;Rol 0148   900810000600 | labels tbv 0810000600;8720195286394.0
3;;148.0;;500.0;202011726_layout_6.pdf;Rol 0149   900810000600 | labels tbv 0810000600;8720195286394.0
4;;149.0;;500.0;202011726_layout_6.pdf;Rol 0150   900810000600 | labels tbv 0810000600;8720195286394.0
5;;150.0;;500.0;202011726_layout_6.pdf;Rol 0151   900810000600 | labels tbv 0810000600;8720195286394.0
6;;151.0;;500.0;202011726_layout_6.pdf;Rol 0152   900810000600 | labels tbv 0810000600;8720195286394.0
7;;152.0;;500.0;202011726_layout_6.pdf;Rol 0153   900810000600 | labels tbv 0810000600;8720195286394.0
8;;153.0;;500.0;202011726_layout_6.pdf;Rol 0154   900810000600 | labels tbv 0810000600;8720195286394.0
9;;154.0;;500.0;202011726_layout_7.pdf;Rol 0155   900850000050 | labels tbv 0850000050;8720195286400.0
10;;155.0;;500.0;202011726_layout_7.pdf;Rol 0156   900850000050 | labels tbv 0850000050;8720195286400.0
11;;156.0;;500.0;202011726_layout_7.pdf;Rol 0157   900850000050 | labels tbv 0850000050;8720195286400.0
12;;157.0;;500.0;202011726_layout_7.pdf;Rol 0158   900850000050 | labels tbv 0850000050;8720195286400.0
13;;158.0;;500.0;202011726_layout_8.pdf;Rol 0159   900910003000 | labels tbv 0910003000;8720195286417.0
14;;159.0;;500.0;202011726_layout_8.pdf;Rol 0160   900910003000 | labels tbv 0910003000;8720195286417.0
15;;160.0;;500.0;202011726_layout_8.pdf;Rol 0161   900910003000 | labels tbv 0910003000;8720195286417.0
16;;161.0;;500.0;202011726_layout_8.pdf;Rol 0162   900910003000 | labels tbv 0910003000;8720195286417.0
17;;162.0;;500.0;202011726_layout_8.pdf;Rol 0163   900910003000 | labels tbv 0910003000;8720195286417.0
18;;163.0;;500.0;202011726_layout_8.pdf;Rol 0164   900910003000 | labels tbv 0910003000;8720195286417.0
19;;164.0;;500.0;202011726_layout_9.pdf;Rol 0165   900910005010 | labels tbv 0910005010;8720195286424.0
20;;165.0;;500.0;202011726_layout_9.pdf;Rol 0166   900910005010 | labels tbv 0910005010;8720195286424.0
21;;166.0;;500.0;202011726_layout_9.pdf;Rol 0167   900910005010 | labels tbv 0910005010;8720195286424.0
22;;167.0;;500.0;202011726_layout_9.pdf;Rol 0168   900910005010 | labels tbv 0910005010;8720195286424.0
23;;168.0;;500.0;202011726_layout_10.pdf;Rol 0169   900910005020 | labels tbv 0910005020;8720195286431.0
24;;169.0;;500.0;202011726_layout_10.pdf;Rol 0170   900910005020 | labels tbv 0910005020;8720195286431.0
25;;170.0;;500.0;202011726_layout_10.pdf;Rol 0171   900910005020 | labels tbv 0910005020;8720195286431.0
26;;171.0;;500.0;202011726_layout_10.pdf;Rol 0172   900910005020 | labels tbv 0910005020;8720195286431.0
27;;172.0;;500.0;202011726_layout_11.pdf;Rol 0173   900910005030 | labels tbv 0910005030;8720195286448.0
28;;173.0;;500.0;202011726_layout_11.pdf;Rol 0174   900910005030 | labels tbv 0910005030;8720195286448.0
0;202011726_inschiet_met_rolnummer_baan_7 | 14500 etiketten;;;;;;
