;0;Code;Colorcode;Unnamed: 0;aantal;beeld
19;;8720195286356.0;900810000200 | labels tbv 0810000200;19.0;500.0;202011726_layout_2.pdf
20;;8720195286356.0;900810000200 | labels tbv 0810000200;20.0;500.0;202011726_layout_2.pdf
21;;8720195286356.0;900810000200 | labels tbv 0810000200;21.0;500.0;202011726_layout_2.pdf
22;;8720195286356.0;900810000200 | labels tbv 0810000200;22.0;500.0;202011726_layout_2.pdf
23;;8720195286356.0;900810000200 | labels tbv 0810000200;23.0;500.0;202011726_layout_2.pdf
24;;8720195286356.0;900810000200 | labels tbv 0810000200;24.0;500.0;202011726_layout_2.pdf
25;;8720195286356.0;900810000200 | labels tbv 0810000200;25.0;500.0;202011726_layout_2.pdf
26;;8720195286356.0;900810000200 | labels tbv 0810000200;26.0;500.0;202011726_layout_2.pdf
27;;8720195286356.0;900810000200 | labels tbv 0810000200;27.0;500.0;202011726_layout_2.pdf
28;;8720195286356.0;900810000200 | labels tbv 0810000200;28.0;500.0;202011726_layout_2.pdf
0;202011726_inschiet_baan_2 | 14500 etiketten;;;;;
0;;8720195286356.0;900810000200 | labels tbv 0810000200;29.0;500.0;202011726_layout_2.pdf
1;;8720195286356.0;900810000200 | labels tbv 0810000200;30.0;500.0;202011726_layout_2.pdf
2;;8720195286356.0;900810000200 | labels tbv 0810000200;31.0;500.0;202011726_layout_2.pdf
3;;8720195286356.0;900810000200 | labels tbv 0810000200;32.0;500.0;202011726_layout_2.pdf
4;;8720195286356.0;900810000200 | labels tbv 0810000200;33.0;500.0;202011726_layout_2.pdf
5;;8720195286356.0;900810000200 | labels tbv 0810000200;34.0;500.0;202011726_layout_2.pdf
6;;8720195286356.0;900810000200 | labels tbv 0810000200;35.0;500.0;202011726_layout_2.pdf
7;;8720195286356.0;900810000200 | labels tbv 0810000200;36.0;500.0;202011726_layout_2.pdf
8;;8720195286356.0;900810000200 | labels tbv 0810000200;37.0;500.0;202011726_layout_2.pdf
9;;8720195286356.0;900810000200 | labels tbv 0810000200;38.0;500.0;202011726_layout_2.pdf
10;;8720195286356.0;900810000200 | labels tbv 0810000200;39.0;500.0;202011726_layout_2.pdf
11;;8720195286356.0;900810000200 | labels tbv 0810000200;40.0;500.0;202011726_layout_2.pdf
12;;8720195286356.0;900810000200 | labels tbv 0810000200;41.0;500.0;202011726_layout_2.pdf
13;;8720195286356.0;900810000200 | labels tbv 0810000200;42.0;500.0;202011726_layout_2.pdf
14;;8720195286356.0;900810000200 | labels tbv 0810000200;43.0;500.0;202011726_layout_2.pdf
15;;8720195286356.0;900810000200 | labels tbv 0810000200;44.0;500.0;202011726_layout_2.pdf
16;;8720195286356.0;900810000200 | labels tbv 0810000200;45.0;500.0;202011726_layout_2.pdf
17;;8720195286356.0;900810000200 | labels tbv 0810000200;46.0;500.0;202011726_layout_2.pdf
18;;8720195286356.0;900810000200 | labels tbv 0810000200;47.0;500.0;202011726_layout_2.pdf
