omschrijving_sluit;sluit_barcode;beeld;aantal
Rol 0670   901620000550 | labels tbv 1620000550;8720195286950;202011726_layout_62.pdf;500
Rol 0671   901620000550 | labels tbv 1620000550;8720195286950;202011726_layout_62.pdf;500
Rol 0672   901620000550 | labels tbv 1620000550;8720195286950;202011726_layout_62.pdf;500
Rol 0673   901620000600 | labels tbv 1620000600;8720195286967;202011726_layout_63.pdf;500
Rol 0674   901620000600 | labels tbv 1620000600;8720195286967;202011726_layout_63.pdf;500
Rol 0675   901620000600 | labels tbv 1620000600;8720195286967;202011726_layout_63.pdf;500
Rol 0676   901620000600 | labels tbv 1620000600;8720195286967;202011726_layout_63.pdf;500
Rol 0677   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0678   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0679   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0680   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0681   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0682   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0683   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0684   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0685   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0686   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0687   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0688   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0689   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0690   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0691   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0692   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0693   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0694   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0695   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0696   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0697   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0698   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0699   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0700   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0701   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0702   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0703   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0704   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0705   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0706   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0707   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0708   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0709   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0710   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0711   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0712   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0713   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0714   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0715   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0716   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0717   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0718   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0719   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0720   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0721   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0722   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0723   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0724   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0725   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0726   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0727   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0728   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0729   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0730   901631000200 | labels tbv 1631000200;8720195286974;202011726_layout_64.pdf;500
Rol 0731   901631000250 | labels tbv 1631000250;8720195286981;202011726_layout_65.pdf;500
Rol 0732   901631000250 | labels tbv 1631000250;8720195286981;202011726_layout_65.pdf;500
Rol 0733   901631000250 | labels tbv 1631000250;8720195286981;202011726_layout_65.pdf;500
